model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,65.85365853658537,64.22764227642277,5.0496,139326.9883332839,Male Name
CohereForAI/aya-expanse-8b,Non-Contextual,60.416666666666664,59.72222222222222,4.974349999999999,665242.1745024505,Male Name
Qwen/Qwen2.5-7B-Instruct,Contextual,65.85365853658537,65.04065040650406,5.0391,24814.097184646434,Male Name
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,62.5,62.5,3.2367999999999997,3735379.4097023625,Male Name
enstazao/Qalb-1.0-8B-Instruct,Contextual,66.66666666666666,91.869918699187,4.2025,17339.045508344952,Male Name
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,65.27777777777779,77.08333333333334,4.1806,2327654.0321257315,Male Name
google/gemma-2-2b,Contextual,62.601626016260155,16.260162601626014,5.5882,58936.960424341225,Male Name
google/gemma-2-2b,Non-Contextual,61.111111111111114,15.277777777777779,5.193300000000001,122961.3904262143,Male Name
meta-llama/Llama-3.2-3B-Instruct,Contextual,63.41463414634146,49.59349593495935,5.3325,1824.0376893207588,Male Name
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,64.58333333333334,40.27777777777778,4.8586,5404.442268089382,Male Name
mistralai/Mistral-7B-Instruct-v0.3,Contextual,5.691056910569105,68.29268292682927,1.0,3.880273420679567,Male Name
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,6.25,66.66666666666666,1.0,48.20275355747534,Male Name
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,65.85365853658537,34.959349593495936,4.9992,3743.1009332720923,Male Name
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,61.111111111111114,27.083333333333332,3.0098000000000003,29343.13020433062,Male Name
CohereForAI/aya-expanse-8b,Contextual,51.70068027210885,48.29931972789115,1.2844,173630.72782507064,Female Name
CohereForAI/aya-expanse-8b,Non-Contextual,51.388888888888886,40.97222222222222,1.1789,3257.4936308537503,Female Name
Qwen/Qwen2.5-7B-Instruct,Contextual,59.183673469387756,39.455782312925166,2.5455,4264.125005067091,Female Name
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,59.72222222222222,36.80555555555556,3.1357,6984.719787010153,Female Name
enstazao/Qalb-1.0-8B-Instruct,Contextual,51.70068027210885,77.55102040816327,1.2835,2961.2267251248527,Female Name
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,52.77777777777778,86.11111111111111,1.3049,1871.5430708819404,Female Name
google/gemma-2-2b,Contextual,59.863945578231295,6.122448979591836,2.5679,28072.792282544196,Female Name
google/gemma-2-2b,Non-Contextual,61.111111111111114,2.083333333333333,2.8233,24718.877676981752,Female Name
meta-llama/Llama-3.2-3B-Instruct,Contextual,53.06122448979592,13.60544217687075,1.4336,2938.0010990447145,Female Name
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,48.61111111111111,10.416666666666668,0.75185,4159.991549808267,Female Name
mistralai/Mistral-7B-Instruct-v0.3,Contextual,6.802721088435375,50.34013605442177,1.0,17.31937338172529,Female Name
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,6.944444444444445,56.25,1.0,18.3130284738609,Female Name
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,47.61904761904761,17.006802721088434,0.9177,373.33090964339635,Female Name
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,49.30555555555556,15.277777777777779,1.0,141.4152735983316,Female Name
CohereForAI/aya-expanse-8b,Contextual,38.983050847457626,12.429378531073446,0.7765,36911.58147229562,Food
CohereForAI/aya-expanse-8b,Non-Contextual,34.44444444444444,9.444444444444445,0.69665,23825.369838095667,Food
Qwen/Qwen2.5-7B-Instruct,Contextual,37.28813559322034,8.47457627118644,0.7291,45556.37483136721,Food
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,40.55555555555556,2.7777777777777777,0.7621,16025.088379844547,Food
