model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,35.41666666666667,31.25,0.28075,5015.735985000522,Arts
CohereForAI/aya-expanse-8b,Non-Contextual,35.13513513513514,33.33333333333333,0.2414,16754.645226998753,Arts
Qwen/Qwen2.5-7B-Instruct,Contextual,57.638888888888886,13.88888888888889,1.3276,3433.1155196953305,Arts
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,52.25225225225225,12.612612612612612,1.1568,209361.55702901393,Arts
enstazao/Qalb-1.0-8B-Instruct,Contextual,37.5,50.0,0.33985,1028.622323772675,Arts
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,33.33333333333333,54.054054054054056,0.3551,193.38238706063873,Arts
google/gemma-2-2b,Contextual,47.91666666666667,13.88888888888889,0.8868,8710.456081607774,Arts
google/gemma-2-2b,Non-Contextual,46.846846846846844,17.117117117117118,0.7299,18355.91626128379,Arts
meta-llama/Llama-3.2-3B-Instruct,Contextual,34.02777777777778,5.555555555555555,0.32065,1558.946473781326,Arts
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,33.33333333333333,5.405405405405405,0.2162,2677.617076965775,Arts
mistralai/Mistral-7B-Instruct-v0.3,Contextual,13.194444444444445,40.97222222222222,1.0,38.26794804065842,Arts
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,13.513513513513514,54.054054054054056,1.0,28.66003263246189,Arts
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,38.88888888888889,6.944444444444445,0.3496,9337.504954295326,Arts
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,38.73873873873874,9.90990990990991,0.5631,43.30698368587876,Arts
