model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,52.25225225225225,12.612612612612612,1.4997,77538.05507078815,Drinks
CohereForAI/aya-expanse-8b,Non-Contextual,50.66666666666667,15.333333333333332,1.1100500000000002,33723.24365092188,Drinks
Qwen/Qwen2.5-7B-Instruct,Contextual,55.85585585585585,8.108108108108109,1.7481,2690.809445975,Drinks
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,52.666666666666664,4.0,1.45085,32348.28693778687,Drinks
enstazao/Qalb-1.0-8B-Instruct,Contextual,55.85585585585585,28.82882882882883,1.3708,31738.133183486592,Drinks
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,51.33333333333333,35.333333333333336,1.1887,33476.569956774,Drinks
google/gemma-2-2b,Contextual,56.75675675675676,10.81081081081081,1.9674,22159.243529838433,Drinks
google/gemma-2-2b,Non-Contextual,50.66666666666667,12.666666666666668,1.2045,40185.093680247955,Drinks
meta-llama/Llama-3.2-3B-Instruct,Contextual,54.95495495495496,0.9009009009009009,1.5419,2654.5719576413007,Drinks
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,52.0,1.3333333333333335,1.0864,1324.6990690356592,Drinks
mistralai/Mistral-7B-Instruct-v0.3,Contextual,14.414414414414415,18.01801801801802,1.0,5.3042319043746335,Drinks
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,14.000000000000002,28.000000000000004,1.0,5.157856379495156,Drinks
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,52.25225225225225,0.0,1.0355,1299.9443548663646,Drinks
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,52.0,1.3333333333333335,1.18855,2330.4489668123565,Drinks
