model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,47.10144927536232,29.71014492753623,0.9797,27683.155353082937,Events
CohereForAI/aya-expanse-8b,Non-Contextual,47.61904761904761,34.69387755102041,0.9994,39497.209290462415,Events
Qwen/Qwen2.5-7B-Instruct,Contextual,68.84057971014492,19.565217391304348,9.19255,1108.573938553571,Events
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,73.46938775510205,19.727891156462583,6.7976,6863.088538921416,Events
enstazao/Qalb-1.0-8B-Instruct,Contextual,50.72463768115942,23.18840579710145,1.30765,17858.692859222323,Events
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,53.06122448979592,29.25170068027211,1.1292,38807.292328019656,Events
google/gemma-2-2b,Contextual,52.17391304347826,13.768115942028986,1.318,4723.1043462419875,Events
google/gemma-2-2b,Non-Contextual,50.34013605442177,7.482993197278912,1.1448,32890.6304717986,Events
meta-llama/Llama-3.2-3B-Instruct,Contextual,47.82608695652174,2.898550724637681,0.9188000000000001,5374.920590847926,Events
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,52.38095238095239,2.7210884353741496,1.4545,1286.2883342709354,Events
mistralai/Mistral-7B-Instruct-v0.3,Contextual,8.695652173913043,42.7536231884058,1.0,4.5727486547476515,Events
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,9.523809523809524,48.29931972789115,1.0,3.00158844544422,Events
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,47.10144927536232,8.695652173913043,0.7759,18931.443430658983,Events
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,48.29931972789115,8.16326530612245,1.0,17154.32612924972,Events
