model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,47.61904761904761,39.682539682539684,0.99875,11405.06613241284,Literature
CohereForAI/aya-expanse-8b,Non-Contextual,50.0,50.0,1.03315,7985.828892030941,Literature
Qwen/Qwen2.5-7B-Instruct,Contextual,66.66666666666666,31.746031746031743,6.561999999999999,10408.483227911762,Literature
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,71.29629629629629,42.592592592592595,9.09725,21835.12415125306,Literature
enstazao/Qalb-1.0-8B-Instruct,Contextual,53.96825396825397,60.317460317460316,1.59445,561.3470134314191,Literature
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,51.85185185185185,61.111111111111114,1.15155,431.5632670630449,Literature
google/gemma-2-2b,Contextual,63.49206349206349,20.634920634920633,3.22785,10501.815756974529,Literature
google/gemma-2-2b,Non-Contextual,63.888888888888886,25.0,6.05325,4200.565419606515,Literature
meta-llama/Llama-3.2-3B-Instruct,Contextual,46.03174603174603,23.015873015873016,0.8055,396.589279460308,Literature
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,46.2962962962963,27.77777777777778,0.94845,269.7299391634392,Literature
mistralai/Mistral-7B-Instruct-v0.3,Contextual,13.492063492063492,39.682539682539684,1.0,17.30270227266944,Literature
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,13.88888888888889,50.92592592592593,1.0,22.527660275893123,Literature
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,53.17460317460318,17.46031746031746,1.2513,1217.5702911462165,Literature
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,51.85185185185185,18.51851851851852,1.33215,1168.323173774097,Literature
