model,Context_Type,west_pref_pct,ner_pct,median_bias,std_bias,Category
CohereForAI/aya-expanse-8b,Contextual,65.85365853658537,64.22764227642277,5.0496,139326.9883332839,Male Name
CohereForAI/aya-expanse-8b,Non-Contextual,60.416666666666664,59.72222222222222,4.974349999999999,665242.1745024505,Male Name
Qwen/Qwen2.5-7B-Instruct,Contextual,65.85365853658537,65.04065040650406,5.0391,24814.097184646434,Male Name
Qwen/Qwen2.5-7B-Instruct,Non-Contextual,62.5,62.5,3.2367999999999997,3735379.4097023625,Male Name
enstazao/Qalb-1.0-8B-Instruct,Contextual,66.66666666666666,91.869918699187,4.2025,17339.045508344952,Male Name
enstazao/Qalb-1.0-8B-Instruct,Non-Contextual,65.27777777777779,77.08333333333334,4.1806,2327654.0321257315,Male Name
google/gemma-2-2b,Contextual,62.601626016260155,16.260162601626014,5.5882,58936.960424341225,Male Name
google/gemma-2-2b,Non-Contextual,61.111111111111114,15.277777777777779,5.193300000000001,122961.3904262143,Male Name
meta-llama/Llama-3.2-3B-Instruct,Contextual,63.41463414634146,49.59349593495935,5.3325,1824.0376893207588,Male Name
meta-llama/Llama-3.2-3B-Instruct,Non-Contextual,64.58333333333334,40.27777777777778,4.8586,5404.442268089382,Male Name
mistralai/Mistral-7B-Instruct-v0.3,Contextual,5.691056910569105,68.29268292682927,1.0,3.880273420679567,Male Name
mistralai/Mistral-7B-Instruct-v0.3,Non-Contextual,6.25,66.66666666666666,1.0,48.20275355747534,Male Name
muhammadnoman76/Lughaat-1.0-8B-Instruct,Contextual,65.85365853658537,34.959349593495936,4.9992,3743.1009332720923,Male Name
muhammadnoman76/Lughaat-1.0-8B-Instruct,Non-Contextual,61.111111111111114,27.083333333333332,3.0098000000000003,29343.13020433062,Male Name
